houseValue,income,houseAge,rooms,bedrooms,population,households,latitude,longitude
87500,2.8043000,16,2445,469,721,474,37.9900000,-122.0600000
137500,1.8229000,17,1319,316,384,269,37.9900000,-122.0600000
136400,3.7333000,36,2476,472,1213,393,38.0000000,-122.0500000
75000,2.3462000,16,1085,217,356,232,38.0000000,-122.0500000
156300,1.3894000,16,1209,477,627,482,37.9800000,-122.0300000
140600,2.3152000,10,974,316,631,286,37.9700000,-122.0400000
178300,5.7295000,25,3577,581,1753,593,38.0000000,-122.0300000
175900,4.5707000,27,3228,562,1666,588,38.0100000,-122.0300000
139900,3.8897000,38,2675,541,1378,480,37.9900000,-122.0400000
138200,3.6042000,45,2842,567,1261,535,37.9800000,-122.0300000
178200,4.6375000,28,2965,533,1591,472,38.0000000,-122.0200000
169300,4.9022000,35,3103,537,1614,566,37.9900000,-122.0300000
161900,4.4500000,37,2247,416,1237,397,37.9900000,-122.0200000
166600,4.5900000,37,1755,327,882,350,37.9900000,-122.0300000
148900,3.4531000,44,1254,252,498,217,37.9800000,-122.0300000
165500,3.5179000,25,1476,336,777,297,37.9800000,-122.0100000
194000,4.3170000,29,2001,373,956,370,37.9800000,-122.0100000
226900,5.1118000,32,1013,169,436,173,37.9800000,-122.0000000
202800,5.1021000,27,2491,428,1171,431,37.9700000,-122.0000000
211500,3.6449000,32,3012,527,1288,512,37.9700000,-122.0100000
165500,2.8456000,40,1797,401,756,369,37.9800000,-122.0200000
161700,3.4187000,37,1474,343,782,331,37.9800000,-122.0200000
192300,5.4607000,28,4035,641,1881,659,37.9900000,-122.0000000
193200,5.0915000,31,2030,337,867,341,37.9800000,-122.0000000
184000,4.4536000,23,2293,411,969,399,37.9800000,-121.9900000
217200,6.2135000,28,2839,428,1372,443,37.9700000,-121.9900000
182000,4.9219000,35,1192,201,535,172,37.9800000,-122.0000000
161300,4.5250000,36,404,77,237,88,37.9800000,-122.0000000
161000,4.0507000,34,1256,267,638,252,37.9800000,-122.0100000
144900,3.7841000,28,1900,401,918,351,37.9900000,-122.0100000
259500,6.1436000,18,2739,393,1072,374,37.9600000,-121.9500000
210500,6.1168000,27,1691,289,807,296,37.9700000,-121.9700000
244100,5.0092000,24,1330,183,656,205,37.9700000,-121.9700000
184800,4.7891000,28,1433,290,877,313,37.9600000,-121.9700000
229200,5.2145000,28,1838,273,899,270,37.9600000,-121.9600000
196100,3.6133000,7,3418,740,1583,676,37.9500000,-121.9600000
204100,3.6500000,22,2987,563,1420,540,37.9600000,-121.9800000
240200,5.7512000,26,1977,264,817,273,37.9700000,-121.9700000
231100,5.9617000,26,2714,390,1232,409,37.9700000,-121.9800000
213200,5.2442000,26,2738,428,1316,430,37.9700000,-121.9800000
207200,5.1333000,22,2823,509,1271,474,37.9700000,-121.9900000
184100,4.6071000,30,3320,589,1470,543,37.9700000,-121.9900000
179000,3.7000000,32,3364,666,1980,678,37.9600000,-122.0000000
190700,4.5833000,28,4071,713,2033,647,37.9600000,-122.0000000
167800,3.0859000,13,3216,765,1627,715,37.9500000,-121.9600000
246700,5.4310000,8,4253,709,1883,662,37.9500000,-121.9700000
126700,3.1573000,12,5048,1122,2209,1014,37.9600000,-121.9800000
260400,7.6166000,16,3324,479,1470,461,37.9600000,-121.9900000
200600,5.5872000,17,2756,423,1228,426,37.9600000,-121.9900000
267400,6.7371000,14,6290,854,2724,820,37.9500000,-121.9800000
265900,6.7821000,16,2984,406,1317,397,37.9500000,-121.9800000
206200,5.3794000,34,3259,498,1250,478,37.9700000,-122.0100000
171000,4.0000000,36,2342,436,1191,416,37.9700000,-122.0200000
151100,3.2500000,45,1613,338,865,336,37.9700000,-122.0300000
160900,2.9861000,26,2470,626,1174,573,37.9700000,-122.0400000
166700,2.9915000,20,3968,931,2629,903,37.9700000,-122.0300000
106300,2.9097000,16,2913,723,1705,693,37.9600000,-122.0400000
112500,2.5841000,21,6445,1839,3621,1735,37.9700000,-122.0400000
151000,3.1968000,39,1323,245,705,261,37.9700000,-122.0400000
151800,2.2411000,20,1143,346,578,298,37.9600000,-122.0400000
159800,3.8456000,35,2190,384,1154,401,37.9600000,-122.0500000
165700,3.6964000,28,1207,252,724,252,37.9600000,-122.0400000
175000,1.8370000,27,2587,729,1500,623,37.9600000,-122.0400000
182000,3.1838000,27,3513,791,1875,694,37.9500000,-122.0500000
190800,5.4482000,20,563,107,246,123,37.9500000,-122.0500000
298200,6.0901000,8,3866,539,1555,513,37.9500000,-122.0100000
305100,6.6727000,25,2615,368,935,366,37.9600000,-122.0200000
162500,2.1083000,20,2636,691,1142,627,37.9600000,-122.0300000
220500,3.1719000,14,3287,793,1601,716,37.9500000,-122.0300000
208300,2.4519000,25,1205,260,608,272,37.9500000,-122.0200000
202300,4.9485000,32,1955,313,804,317,37.9500000,-122.0300000
237000,5.6642000,22,3526,510,1660,508,37.9500000,-122.0200000
213100,4.2569000,23,3516,661,1465,623,37.9400000,-122.0200000
322300,6.7061000,23,3741,501,1339,499,37.9400000,-122.0100000
267100,4.1250000,19,3192,612,1317,594,37.9400000,-122.0200000
268000,6.0704000,26,1619,224,706,220,37.9400000,-122.0100000
273600,6.3809000,18,2077,298,937,292,37.9400000,-122.0100000
339200,6.8145000,9,2214,256,848,239,37.9500000,-122.0000000
330200,7.5898000,25,2652,335,1062,334,37.9300000,-122.0100000
163100,3.1406000,33,1653,334,814,328,37.9500000,-122.0400000
231400,5.6292000,24,5732,873,2444,888,37.9400000,-122.0400000
227800,4.6602000,22,2105,354,993,365,37.9400000,-122.0500000
197100,4.7188000,29,866,138,341,133,37.9500000,-122.0400000
144600,2.8500000,22,5175,1213,2804,1091,37.9500000,-122.0500000
279300,5.5777000,21,5541,776,2214,737,37.9400000,-122.0300000
344800,6.0918000,21,4712,624,1773,615,37.9300000,-122.0300000
266500,4.0473000,5,4274,1153,1503,881,37.9300000,-122.0500000
184900,4.4500000,15,7803,1603,2957,1546,37.9300000,-122.0500000
234700,4.7094000,14,12713,2558,4741,2412,37.9200000,-122.0500000
351200,7.4713000,26,5077,640,1872,636,37.9200000,-122.0200000
358800,6.5847000,23,3318,408,1124,393,37.9200000,-122.0300000
367700,7.6877000,21,10093,1269,3645,1219,37.9100000,-122.0100000
275300,5.0362000,29,5438,871,2310,890,37.9100000,-122.0300000
232800,4.1612000,15,5393,1422,2133,1288,37.9100000,-122.0600000
216100,2.6998000,25,5869,1685,2669,1554,37.9000000,-122.0600000
114300,3.1002000,21,4985,1590,2575,1458,37.8900000,-122.0600000
226000,5.0255000,45,1544,244,614,238,37.9300000,-122.0700000
252100,3.7433000,25,7201,1521,3264,1433,37.9300000,-122.0700000
225000,4.4312000,26,3872,739,1629,684,37.9200000,-122.0700000
250000,4.4561000,28,2377,469,1068,435,37.9200000,-122.0800000
264900,6.1950000,26,1733,265,796,274,37.9200000,-122.0800000
259800,5.0391000,28,1731,295,810,295,37.9100000,-122.0700000
292500,3.6833000,33,1550,277,638,254,37.9100000,-122.0700000
306800,5.0499000,32,1075,170,486,173,37.9000000,-122.0800000
306900,7.0895000,18,9576,1455,3486,1380,37.9100000,-122.0900000
266800,4.3864000,28,3410,746,1428,670,37.8900000,-122.0700000
283900,6.2924000,39,3018,501,1223,489,37.8900000,-122.0800000
288000,5.1097000,29,4133,770,1691,744,37.9000000,-122.0800000
268800,5.5636000,38,2139,343,809,340,37.8900000,-122.0700000
263300,5.6558000,38,757,124,319,123,37.8900000,-122.0700000
340900,6.5378000,34,4781,703,1879,714,37.8800000,-122.0600000
397500,6.7192000,30,2296,329,847,322,37.8700000,-122.0500000
271000,2.9526000,24,4125,1020,1699,873,37.9000000,-122.0500000
335700,4.6528000,32,2676,484,986,473,37.9000000,-122.0500000
310600,4.2625000,37,1677,269,689,283,37.8900000,-122.0500000
349100,7.5349000,33,2423,322,998,346,37.8900000,-122.0400000
321200,4.8088000,32,4498,862,1818,851,37.9000000,-122.0500000
275800,5.6986000,20,5467,1044,2310,963,37.9000000,-122.0400000
356200,7.5000000,29,6349,858,2450,778,37.8900000,-122.0200000
312700,4.6424000,32,3250,550,1230,557,37.8800000,-122.0400000
390600,6.1120000,29,3025,477,1035,452,37.8600000,-122.0300000
469400,9.5862000,27,6039,780,2181,761,37.8500000,-122.0400000
258200,6.2726000,22,1980,291,861,290,37.7300000,-121.9400000
260300,6.1265000,22,6719,1068,2843,994,37.7300000,-121.9400000
275000,6.2048000,23,2564,347,1043,351,37.7300000,-121.9300000
350000,3.3750000,8,831,231,404,224,37.7300000,-121.9300000
250000,6.3325000,19,1127,170,518,167,37.7400000,-121.9500000
266000,6.2631000,19,5721,837,2653,813,37.7400000,-121.9500000
269800,6.2781000,17,2559,370,1238,377,37.7500000,-121.9400000
157200,2.4821000,24,1407,327,501,295,37.7300000,-121.9200000
343500,6.8806000,16,3326,419,1272,402,37.7400000,-121.9300000
296100,6.6204000,16,5121,735,2464,761,37.7500000,-121.9400000
312500,6.6131000,17,5688,824,2111,773,37.7900000,-121.9700000
345800,7.6473000,17,3354,422,1457,425,37.8000000,-121.9800000
343700,8.1550000,16,2498,330,1027,343,37.8000000,-121.9800000
359100,5.5921000,18,2903,387,1127,372,37.8100000,-121.9800000
403400,8.3188000,12,6488,778,2404,765,37.8100000,-121.9600000
356000,7.9168000,17,3279,418,1222,381,37.8000000,-121.9700000
369200,7.8287000,8,11336,1657,4089,1555,37.8000000,-121.9400000
341300,6.7857000,16,3873,484,1451,501,37.7900000,-121.9700000
356700,6.3942000,4,14652,2826,5613,2579,37.7800000,-121.9500000
425100,9.7037000,8,3865,463,1548,432,37.7600000,-121.9600000
356100,4.6932000,4,6875,1439,2889,1307,37.7600000,-121.9400000
461400,10.3345000,5,2255,269,876,258,37.7600000,-121.9300000
432400,12.5915000,8,452,51,140,43,37.7400000,-121.9200000
434700,3.1591000,2,227,35,114,49,37.7800000,-121.9300000
350000,15.0001000,2,200,20,25,9,37.7400000,-121.9600000
381900,6.7027000,8,3743,581,1633,567,37.7600000,-121.9700000
324600,7.2216000,13,7241,1007,3221,947,37.7700000,-121.9700000
399300,7.9393000,8,2865,389,1376,417,37.7400000,-121.9800000
443800,7.7072000,34,1879,265,729,263,37.8400000,-122.0200000
386600,6.5617000,30,3917,549,1330,544,37.8300000,-122.0100000
256400,4.6042000,20,2206,458,926,432,37.8200000,-122.0000000
200000,3.3750000,22,1248,271,579,269,37.8200000,-121.9900000
500001,9.8708000,24,5948,738,1997,710,37.8300000,-122.0300000
294800,5.1755000,14,8213,1364,3283,1286,37.7700000,-121.9900000
188500,4.9018000,17,465,83,146,75,37.8100000,-121.9900000
359300,7.6518000,11,6200,907,2286,896,37.8000000,-122.0200000
358700,8.2673000,21,3521,447,1396,467,37.8700000,-122.0300000
287300,7.3732000,16,3031,438,1087,421,37.8800000,-122.0200000
441400,8.4352000,14,3056,369,1209,377,37.8700000,-122.0200000
494000,7.2655000,25,3004,393,1145,376,37.8600000,-122.0300000
500001,10.7372000,18,8953,1074,3011,993,37.8600000,-122.0000000
500001,13.4883000,4,1029,126,416,122,37.8700000,-121.9700000
398200,7.5139000,29,7479,977,2744,943,37.8400000,-121.9600000
500001,9.5271000,16,7681,946,2777,908,37.8400000,-122.0000000
500001,12.2478000,10,3209,379,1199,392,37.8500000,-121.9600000
372000,8.0839000,16,2939,380,1177,396,37.8300000,-121.9900000
351300,8.0030000,18,9117,1248,3280,1167,37.8200000,-121.9800000
450400,9.0776000,5,7178,898,2823,907,37.8100000,-121.9500000
382200,8.0390000,20,10212,1424,4083,1374,37.9300000,-122.1000000
500001,10.4549000,22,4949,626,1850,590,37.9400000,-122.1200000
294400,6.5095000,38,827,144,368,136,37.9000000,-122.1000000
500001,10.3224000,32,5738,746,2099,732,37.9000000,-122.1400000
455300,8.3678000,34,5683,755,1962,723,37.9100000,-122.1200000
406500,6.8686000,35,880,139,352,132,37.8900000,-122.0900000
310300,5.2079000,21,3282,653,1398,601,37.8900000,-122.1000000
279500,4.3235000,32,2372,516,1067,492,37.8900000,-122.1100000
348200,6.4666000,37,4005,614,1602,606,37.8800000,-122.1100000
433300,8.0448000,35,2785,362,1001,363,37.8800000,-122.1200000
257100,4.1250000,30,3227,733,1260,684,37.8900000,-122.1200000
350000,2.7411000,27,744,214,295,169,37.8900000,-122.1300000
426100,10.3713000,18,1820,220,728,229,37.8700000,-122.1300000
394400,6.2275000,34,6986,1096,2865,1124,37.8800000,-122.1400000
387200,3.5536000,11,1077,318,590,264,37.8800000,-122.0700000
99400,2.3971000,24,2059,462,410,294,37.8800000,-122.0800000
85000,2.9330000,26,2947,647,825,626,37.8800000,-122.0800000
102700,2.9167000,24,6130,1359,1750,1286,37.8700000,-122.0800000
186500,3.6437000,17,7475,1556,2092,1449,37.8500000,-122.0600000
155000,3.1200000,23,1025,205,263,191,37.8600000,-122.0700000
252400,4.4551000,16,5187,1014,1512,986,37.8600000,-122.0600000
206300,3.5893000,17,1102,224,317,208,37.8600000,-122.0700000
73400,2.4896000,26,2405,564,680,531,37.8700000,-122.0800000
367100,7.2315000,35,3701,528,1511,517,37.8800000,-122.1000000
402600,7.6202000,27,5484,760,2212,770,37.8600000,-122.0900000
314200,6.5814000,33,3398,500,1351,457,37.8700000,-122.1100000
454100,8.0074000,18,5252,686,1870,657,37.8500000,-122.1200000
500001,11.7064000,17,1320,159,1722,141,37.8400000,-122.0800000
416500,7.6717000,26,4048,513,1486,498,37.8100000,-122.1200000
364500,6.6657000,26,2269,317,918,313,37.8200000,-122.1200000
369900,7.2030000,19,5130,741,1887,712,37.8300000,-122.1100000
500001,11.3421000,4,2045,237,830,252,37.8200000,-122.0800000
314000,4.5744000,20,6201,1182,2415,1141,37.8600000,-122.1400000
389900,7.3267000,27,9147,1276,3371,1269,37.8500000,-122.1400000
355600,5.6349000,24,2131,343,874,373,37.8400000,-122.1400000
370200,7.5200000,16,4596,705,1480,650,37.8300000,-122.1600000
404300,8.1586000,36,3359,493,1298,483,37.8600000,-122.1600000
354200,4.9000000,36,542,119,231,121,37.8800000,-122.1800000
399700,8.9571000,33,4449,636,1684,617,37.8600000,-122.1800000
434500,8.7589000,32,1779,241,721,258,37.8900000,-122.1600000
401800,7.6917000,32,3633,508,1393,506,37.8800000,-122.1700000
423200,7.6107000,33,3626,502,1348,480,37.8800000,-122.1700000
438000,6.9170000,38,1261,177,472,183,37.8700000,-122.1700000
475000,2.4444000,20,95,13,31,15,37.8800000,-122.2200000
367500,7.3195000,37,3881,560,1315,517,37.8900000,-122.2000000
378100,7.7736000,36,1065,160,398,155,37.8800000,-122.2000000
500001,10.9405000,31,7200,876,2428,843,37.9100000,-122.1800000
500001,10.3416000,36,2107,287,740,280,37.9000000,-122.2000000
500001,9.0064000,36,4760,610,1511,572,37.9000000,-122.1800000
499000,8.1489000,18,4845,735,1634,734,37.8900000,-122.1800000
204200,5.2699000,8,7505,1089,3325,1016,37.9800000,-121.8400000
166800,6.4753000,8,1584,236,615,202,37.9700000,-121.8100000
213700,5.5601000,4,17032,2546,7653,2359,37.9700000,-121.7800000
162500,2.8750000,17,1133,244,716,235,37.9500000,-121.8300000
500001,10.5815000,11,2836,373,959,335,37.8300000,-121.9400000
500001,13.2949000,4,11444,1355,3898,1257,37.8200000,-121.8900000
500001,13.1499000,7,3477,416,1216,395,37.8100000,-121.9100000
485400,8.3209000,12,4711,659,2089,621,37.8100000,-121.8200000
210100,2.9591000,2,3129,707,1606,698,37.9900000,-121.9600000
194700,5.1582000,26,3084,505,1557,501,37.9400000,-121.9600000
181200,4.1483000,25,4026,791,1850,709,37.9500000,-121.9600000
285400,6.8642000,21,3153,411,1318,431,37.9400000,-121.9500000
307000,6.6134000,4,3241,464,1552,494,37.9300000,-121.9700000
353600,8.3956000,18,2808,337,1038,337,37.9200000,-122.0100000
365800,8.1163000,16,2638,345,1055,334,37.9200000,-122.0100000
427700,9.0243000,14,1780,224,764,226,37.9200000,-121.9900000
366700,7.3445000,13,2085,292,852,264,37.8900000,-121.9300000
237400,5.2798000,14,5332,884,2093,839,37.9600000,-121.9200000
288000,7.1978000,18,2541,355,986,346,37.9500000,-121.9400000
329400,8.7059000,13,1610,198,703,217,37.9300000,-121.9100000
291700,6.2296000,26,1299,174,533,180,37.9400000,-121.9400000
320400,7.5695000,16,3421,427,1341,428,37.9300000,-121.9400000
286900,6.2990000,16,2876,391,1089,377,37.9300000,-121.9300000
312600,6.6049000,16,2169,262,877,245,37.9300000,-121.9300000
253600,5.9346000,27,1469,216,578,219,37.9400000,-121.9500000
205100,5.7001000,16,1803,267,946,266,38.0200000,-122.2500000
197600,5.6293000,15,3338,532,1834,520,38.0300000,-122.2500000
198500,6.0224000,15,2150,327,1094,324,38.0200000,-122.2100000
310700,6.7741000,9,6306,962,2581,911,37.9600000,-122.2000000
171100,3.1250000,52,1350,266,490,257,38.0600000,-122.2300000
147100,2.5517000,52,1736,358,638,297,38.0500000,-122.2300000
155700,3.6154000,52,2735,559,1076,487,38.0600000,-122.2100000
197000,5.6022000,31,3029,500,1236,487,38.0400000,-122.2000000
203700,4.4474000,25,2239,361,928,353,38.0300000,-122.2600000
134500,2.3103000,47,1685,405,835,372,38.0400000,-122.2700000
150200,3.9345000,41,1631,282,752,288,38.0300000,-122.2600000
123000,2.6940000,41,2512,539,1179,480,38.0400000,-122.2600000
147700,1.6767000,30,1255,297,779,307,38.0500000,-122.2500000
174200,5.0969000,4,7999,1611,3596,1396,38.0600000,-122.3200000
178900,3.4471000,26,2335,413,980,417,38.0000000,-122.2800000
173200,4.0250000,16,4986,1081,2805,1016,38.0000000,-122.2900000
175400,4.3173000,32,2159,393,981,369,38.0300000,-122.3600000
162000,4.4394000,34,1712,317,956,341,38.0000000,-122.3000000
191100,4.6210000,26,3735,641,1708,633,38.0000000,-122.3100000
195000,3.2759000,18,4123,874,1895,772,38.0100000,-122.3100000
193300,4.3750000,28,3801,622,1654,571,37.9900000,-122.2800000
198000,5.1178000,28,2038,329,947,349,37.9800000,-122.2600000
243200,5.8899000,16,4921,737,2312,725,37.9900000,-122.2700000
218600,6.0289000,23,3455,479,1375,474,37.9800000,-122.2700000
184800,5.0473000,5,3846,786,2053,716,38.0200000,-122.2600000
269400,5.7862000,11,3751,565,1949,555,38.0100000,-122.2400000
235600,6.0102000,16,2084,315,1154,307,38.0100000,-122.2400000
237700,6.5006000,16,2978,411,1531,400,38.0000000,-122.2500000
170500,4.2269000,14,2338,391,1003,398,38.0000000,-122.2600000
246400,5.2375000,6,678,104,318,91,38.0000000,-122.2600000
240300,5.8418000,15,1216,166,572,178,38.0000000,-122.2700000
248700,6.1576000,12,1592,242,969,233,38.0000000,-122.2700000
272900,6.2073000,5,6265,908,3326,872,38.0000000,-122.2600000
209800,5.1046000,27,2133,347,850,350,37.9800000,-122.2900000
201000,5.5000000,35,1579,243,734,264,37.9600000,-122.2800000
272400,6.0666000,10,15259,2275,7266,2338,37.9700000,-122.2700000
184000,3.6393000,30,4030,772,1777,718,37.9700000,-122.3000000
164700,3.5353000,34,2854,528,1211,452,37.9700000,-122.3000000
227400,4.4911000,20,3426,632,1512,580,37.9700000,-122.2900000
149700,3.3750000,35,1811,377,911,340,37.9700000,-122.3000000
190000,4.4387000,20,7578,1426,3637,1362,37.9400000,-122.2900000
196600,4.4500000,37,1887,353,895,359,37.9500000,-122.3200000
191400,3.8343000,38,1794,349,810,335,37.9400000,-122.3100000
194200,4.3958000,38,2172,403,945,384,37.9400000,-122.3100000
185000,4.3500000,36,1425,245,573,239,37.9500000,-122.3200000
157800,4.2348000,25,6508,1137,3259,1081,37.9900000,-122.3100000
164300,3.6518000,25,3807,806,1821,792,37.9800000,-122.3000000
161000,3.9722000,29,2347,464,1135,490,37.9700000,-122.3200000
171100,4.6944000,26,3054,492,1495,496,38.0100000,-122.3200000
109000,2.9781000,35,3779,711,2493,679,38.0000000,-122.3300000
170800,4.3333000,29,3108,534,1687,516,38.0000000,-122.3100000
173500,4.2852000,24,4865,968,2315,893,37.9900000,-122.3200000
162800,4.0437000,32,2275,397,1233,418,38.0000000,-122.3200000
85100,2.6167000,42,1531,326,1271,377,37.9900000,-122.3400000
175000,6.0115000,3,2850,544,1024,515,37.9800000,-122.3300000
112500,3.9110000,4,3999,1079,1591,887,37.9900000,-122.3300000
212500,4.1250000,33,44,6,23,11,38.0000000,-122.3900000
104200,0.7160000,39,246,57,316,52,37.9600000,-122.3600000
80400,1.5347000,31,1157,276,956,232,37.9600000,-122.3600000
69800,1.8333000,40,408,102,302,81,37.9500000,-122.3600000
81300,1.6023000,35,215,45,100,34,37.9500000,-122.3700000
76400,0.9797000,32,1298,363,716,268,37.9500000,-122.3700000
68600,0.7403000,37,1572,402,1046,350,37.9600000,-122.3700000
67500,1.4583000,36,60,15,42,25,37.9800000,-122.4100000
131300,3.9773000,33,2014,410,1354,427,37.9800000,-122.3400000
132900,3.7562000,34,3756,726,2237,686,37.9800000,-122.3500000
110000,6.0426000,19,392,109,287,81,37.9700000,-122.3400000
113600,2.0353000,32,1991,504,1139,423,37.9600000,-122.3500000
112200,2.5863000,43,2178,482,1545,471,37.9700000,-122.3500000
113800,3.2188000,31,2892,685,2104,641,37.9700000,-122.3500000
134100,4.6937000,33,1595,292,991,300,37.9700000,-122.3200000
156600,4.5000000,33,1156,190,643,209,37.9700000,-122.3200000
158800,3.3125000,19,5151,1335,2548,1165,37.9700000,-122.3300000
150100,4.4135000,32,1967,348,1144,364,37.9800000,-122.3300000
130800,3.5463000,45,1982,376,1179,398,37.9700000,-122.3300000
120700,2.3382000,19,2237,580,1438,551,37.9700000,-122.3400000
129400,3.9118000,46,1222,236,819,251,37.9600000,-122.3300000
114200,2.5164000,36,2191,531,1563,524,37.9600000,-122.3500000
97200,1.8750000,29,1899,524,1357,443,37.9600000,-122.3500000
97700,2.0724000,35,1326,346,1023,295,37.9600000,-122.3500000
110300,2.6328000,31,2449,595,1801,548,37.9500000,-122.3500000
93900,2.5461000,34,1428,335,1272,319,37.9600000,-122.3500000
107800,1.8664000,30,950,317,1073,280,37.9600000,-122.3600000
133700,3.3750000,25,1728,403,934,412,37.9600000,-122.3200000
182800,4.0417000,34,2070,357,784,294,37.9600000,-122.3200000
146100,2.5769000,35,1612,354,887,331,37.9500000,-122.3200000
120800,2.1915000,22,2099,569,1135,509,37.9500000,-122.3300000
133300,2.1991000,15,6487,1717,3408,1560,37.9600000,-122.3400000
103600,2.5382000,33,1817,441,1220,389,37.9600000,-122.3400000
165100,3.7277000,38,2751,522,1390,489,37.9400000,-122.3200000
210800,5.5196000,46,1901,295,833,352,37.9400000,-122.3200000
186900,3.9464000,40,1141,213,434,196,37.9300000,-122.3200000
144600,3.7708000,42,1627,336,848,316,37.9500000,-122.3300000
140400,2.8833000,45,1226,279,590,260,37.9400000,-122.3300000
140800,3.5848000,47,1882,361,797,342,37.9400000,-122.3300000
141600,3.1571000,43,1876,389,807,377,37.9400000,-122.3300000
139100,3.9417000,42,1695,345,719,334,37.9400000,-122.3300000
150800,4.0526000,44,1769,332,828,309,37.9400000,-122.3300000
134100,3.6719000,45,1128,240,702,270,37.9500000,-122.3400000
135800,3.0313000,45,1585,329,981,373,37.9500000,-122.3300000
142600,4.0927000,46,1543,339,777,322,37.9500000,-122.3300000
135300,3.0694000,44,1675,317,806,311,37.9500000,-122.3400000
133400,2.8750000,44,1788,368,933,329,37.9500000,-122.3400000
135100,3.2333000,39,1986,427,1041,385,37.9500000,-122.3400000
111700,3.2833000,38,1340,298,766,241,37.9500000,-122.3400000
111600,3.0737000,45,2142,431,1318,431,37.9500000,-122.3500000
114600,3.6094000,42,1485,290,971,303,37.9500000,-122.3500000
104700,2.7714000,38,1042,289,773,248,37.9500000,-122.3600000
143300,3.9420000,47,2313,433,947,430,37.9400000,-122.3400000
140300,2.7391000,44,1917,444,936,435,37.9400000,-122.3400000
145500,1.6810000,31,1611,455,786,411,37.9400000,-122.3400000
143900,3.1250000,42,2206,451,989,444,37.9400000,-122.3400000
105200,2.3456000,45,2112,493,1406,452,37.9400000,-122.3500000
105200,1.6571000,34,1880,459,1358,422,37.9400000,-122.3500000
95600,2.8967000,47,1275,275,844,273,37.9400000,-122.3500000
81700,1.5139000,38,1066,248,729,286,37.9500000,-122.3600000
79000,3.0862000,45,907,188,479,161,37.9400000,-122.3600000
105800,0.9687000,27,844,249,583,265,37.9400000,-122.3600000
72900,1.3365000,26,1540,343,1007,338,37.9400000,-122.3600000
79700,1.8220000,41,2591,585,1638,462,37.9400000,-122.3600000
71600,1.3167000,49,969,229,599,195,37.9400000,-122.3700000
88000,1.7865000,19,1334,366,1048,316,37.9300000,-122.3500000
84300,2.3352000,28,1995,488,1182,439,37.9300000,-122.3500000
79400,1.6000000,43,369,107,371,111,37.9400000,-122.3600000
121600,3.0500000,17,1258,254,885,229,37.9300000,-122.3600000
69100,1.0521000,40,1064,266,912,239,37.9400000,-122.3700000
37900,1.7500000,45,3150,756,1798,749,37.9300000,-122.3700000
269800,5.0524000,18,3507,711,1224,676,37.9100000,-122.3800000
274500,4.0160000,47,3453,779,1353,728,37.9300000,-122.4200000
275000,3.2875000,52,154,33,89,38,37.9400000,-122.4100000
95000,2.1287000,30,2515,481,1327,428,37.9300000,-122.3400000
91500,1.7257000,39,2002,416,1166,395,37.9300000,-122.3500000
86100,1.7727000,44,1891,449,1047,432,37.9300000,-122.3600000
87000,1.9375000,42,1796,389,1107,372,37.9300000,-122.3600000
84200,0.8641000,37,709,190,644,174,37.9300000,-122.3700000
93800,1.1250000,36,1954,513,1437,440,37.9100000,-122.3300000
94000,1.9224000,36,921,200,585,236,37.9200000,-122.3500000
104200,1.3929000,52,215,41,126,43,37.9200000,-122.3600000
186800,4.2895000,4,2851,798,1285,712,37.9100000,-122.3500000
90300,2.3475000,34,2326,471,1356,441,37.9300000,-122.3300000
111500,3.0156000,27,2158,424,1220,442,37.9300000,-122.3300000
88300,1.4423000,32,2389,652,1672,584,37.9300000,-122.3400000
112100,2.6400000,45,2225,486,1304,459,37.9300000,-122.3400000
156300,3.2222000,41,268,75,198,82,37.9300000,-122.3500000
140600,5.0187000,29,2304,399,1377,454,37.9200000,-122.3200000
122400,2.2301000,26,3887,779,2512,740,37.9200000,-122.3300000
129100,3.2674000,28,4649,977,2606,953,37.9200000,-122.3200000
119600,2.6399000,34,2669,647,1341,555,37.9100000,-122.3200000
167800,2.7628000,39,2955,696,1417,682,37.9100000,-122.3100000
178400,3.6417000,43,2549,511,1060,528,37.9100000,-122.3100000
177800,4.1146000,45,3924,834,1992,773,37.9100000,-122.3100000
286500,5.3433000,39,2505,371,872,345,37.9300000,-122.3100000
253400,5.0399000,36,2403,408,917,404,37.9300000,-122.3100000
247300,5.1067000,40,3056,489,1103,481,37.9300000,-122.3200000
267700,6.2712000,47,1911,283,697,275,37.9400000,-122.3200000
321600,6.0677000,32,3943,605,1524,614,37.9200000,-122.3000000
288200,5.9430000,35,583,88,235,84,37.9200000,-122.2900000
401000,6.5160000,32,1736,234,602,231,37.9200000,-122.2900000
304000,4.5000000,34,2254,357,715,306,37.9300000,-122.3000000
261900,3.5089000,36,1526,256,696,263,37.9300000,-122.3100000
22500,2.6750000,33,296,73,216,63,37.9300000,-122.3200000
183300,2.8456000,30,1014,236,537,204,37.9200000,-122.3100000
220100,3.7240000,38,1250,236,631,279,37.9200000,-122.3100000
195800,2.5000000,12,1895,600,983,519,37.9200000,-122.3100000
186900,3.3594000,22,1119,220,565,199,37.9200000,-122.3200000
212200,4.1587000,43,2116,407,900,361,37.9200000,-122.3100000
239000,4.0804000,33,1615,271,710,285,37.9200000,-122.3000000
218100,2.7243000,31,1432,348,681,348,37.9100000,-122.3100000
200400,2.9441000,39,2686,569,1159,559,37.9100000,-122.3000000
